filename,path,point_id,direction,grid_id,district,sample_id,sample_type,ori_level,urban_type,func_zone,stability_level
5420_106.693944822_29.8607129024_180_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5420_106.693944822_29.8607129024_180_202305.jpg,5420,180,R060C087,渝北区,11,main,ORI低,一般建成区,居住主导,基本稳定-局部变化
5420_106.693944822_29.8607129024_270_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5420_106.693944822_29.8607129024_270_202305.jpg,5420,270,R060C087,渝北区,11,main,ORI低,一般建成区,居住主导,基本稳定-局部变化
5420_106.693944822_29.8607129024_0_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5420_106.693944822_29.8607129024_0_202305.jpg,5420,0,R060C087,渝北区,11,main,ORI低,一般建成区,居住主导,基本稳定-局部变化
5420_106.693944822_29.8607129024_90_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5420_106.693944822_29.8607129024_90_202305.jpg,5420,90,R060C087,渝北区,11,main,ORI低,一般建成区,居住主导,基本稳定-局部变化
5416_106.68749609_29.8471863516_180_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5416_106.68749609_29.8471863516_180_202305.jpg,5416,180,R063C085,渝北区,35,main,ORI低,密集城区,混合/非居住,稳定
5416_106.68749609_29.8471863516_0_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5416_106.68749609_29.8471863516_0_202305.jpg,5416,0,R063C085,渝北区,35,main,ORI低,密集城区,混合/非居住,稳定
5416_106.68749609_29.8471863516_270_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5416_106.68749609_29.8471863516_270_202305.jpg,5416,270,R063C085,渝北区,35,main,ORI低,密集城区,混合/非居住,稳定
5416_106.68749609_29.8471863516_90_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5416_106.68749609_29.8471863516_90_202305.jpg,5416,90,R063C085,渝北区,35,main,ORI低,密集城区,混合/非居住,稳定
1587_106.737782288_29.839527249_0_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1587_106.737782288_29.839527249_0_202305.jpg,1587,0,R065C095,渝北区,21,main,ORI低,密集城区,混合/非居住,稳定
1587_106.737782288_29.839527249_90_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1587_106.737782288_29.839527249_90_202305.jpg,1587,90,R065C095,渝北区,21,main,ORI低,密集城区,混合/非居住,稳定
1587_106.737782288_29.839527249_180_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1587_106.737782288_29.839527249_180_202305.jpg,1587,180,R065C095,渝北区,21,main,ORI低,密集城区,混合/非居住,稳定
1587_106.737782288_29.839527249_270_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1587_106.737782288_29.839527249_270_202305.jpg,1587,270,R065C095,渝北区,21,main,ORI低,密集城区,混合/非居住,稳定
15499_106.76174776_29.8357353709_270_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/15499_106.76174776_29.8357353709_270_202305.jpg,15499,270,R066C100,渝北区,34,main,ORI低,一般建成区,居住主导,稳定
15499_106.76174776_29.8357353709_90_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/15499_106.76174776_29.8357353709_90_202305.jpg,15499,90,R066C100,渝北区,34,main,ORI低,一般建成区,居住主导,稳定
15499_106.76174776_29.8357353709_0_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/15499_106.76174776_29.8357353709_0_202305.jpg,15499,0,R066C100,渝北区,34,main,ORI低,一般建成区,居住主导,稳定
15499_106.76174776_29.8357353709_180_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/15499_106.76174776_29.8357353709_180_202305.jpg,15499,180,R066C100,渝北区,34,main,ORI低,一般建成区,居住主导,稳定
1579_106.717285056_29.8119862569_0_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1579_106.717285056_29.8119862569_0_202305.jpg,1579,0,R071C091,渝北区,17,main,ORI低,一般建成区,居住主导,稳定
1579_106.717285056_29.8119862569_90_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1579_106.717285056_29.8119862569_90_202305.jpg,1579,90,R071C091,渝北区,17,main,ORI低,一般建成区,居住主导,稳定
1579_106.717285056_29.8119862569_180_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1579_106.717285056_29.8119862569_180_202305.jpg,1579,180,R071C091,渝北区,17,main,ORI低,一般建成区,居住主导,稳定
1579_106.717285056_29.8119862569_270_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1579_106.717285056_29.8119862569_270_202305.jpg,1579,270,R071C091,渝北区,17,main,ORI低,一般建成区,居住主导,稳定
15541_106.72765048_29.8114232489_0_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/15541_106.72765048_29.8114232489_0_202305.jpg,15541,0,R071C093,渝北区,13,main,ORI低,密集城区,混合/非居住,稳定
15541_106.72765048_29.8114232489_90_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/15541_106.72765048_29.8114232489_90_202305.jpg,15541,90,R071C093,渝北区,13,main,ORI低,密集城区,混合/非居住,稳定
15541_106.72765048_29.8114232489_180_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/15541_106.72765048_29.8114232489_180_202305.jpg,15541,180,R071C093,渝北区,13,main,ORI低,密集城区,混合/非居住,稳定
15541_106.72765048_29.8114232489_270_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/15541_106.72765048_29.8114232489_270_202305.jpg,15541,270,R071C093,渝北区,13,main,ORI低,密集城区,混合/非居住,稳定
1793_106.729028421_29.808354146_90_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1793_106.729028421_29.808354146_90_202305.jpg,1793,90,R072C094,渝北区,24,main,ORI低,一般建成区,混合/非居住,稳定
1793_106.729028421_29.808354146_180_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1793_106.729028421_29.808354146_180_202305.jpg,1793,180,R072C094,渝北区,24,main,ORI低,一般建成区,混合/非居住,稳定
1793_106.729028421_29.808354146_0_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1793_106.729028421_29.808354146_0_202305.jpg,1793,0,R072C094,渝北区,24,main,ORI低,一般建成区,混合/非居住,稳定
1793_106.729028421_29.808354146_270_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/1793_106.729028421_29.808354146_270_202305.jpg,1793,270,R072C094,渝北区,24,main,ORI低,一般建成区,混合/非居住,稳定
5402_106.640480396_29.8032257903_0_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5402_106.640480396_29.8032257903_0_202305.jpg,5402,0,R073C076,渝北区,7,main,ORI低,密集城区,居住主导,稳定
5402_106.640480396_29.8032257903_270_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5402_106.640480396_29.8032257903_270_202305.jpg,5402,270,R073C076,渝北区,7,main,ORI低,密集城区,居住主导,稳定
5402_106.640480396_29.8032257903_90_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5402_106.640480396_29.8032257903_90_202305.jpg,5402,90,R073C076,渝北区,7,main,ORI低,密集城区,居住主导,稳定
5402_106.640480396_29.8032257903_180_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/5402_106.640480396_29.8032257903_180_202305.jpg,5402,180,R073C076,渝北区,7,main,ORI低,密集城区,居住主导,稳定
7062_106.530847759_29.795607299_270_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/7062_106.530847759_29.795607299_270_202305.jpg,7062,270,R075C055,北碚区,398,sensitivity,ORI低,乡村/自然,居住主导,显著变化
7062_106.530847759_29.795607299_180_202305.jpg,/Users/catherine/Desktop/风险管理/imgs500米间隔161922_副本2/最新四方图/7062_106.530847759_29.795607299_180_202305.jpg,7062,180,R075C055,北碚区,398,sensitivity,ORI低,乡村/自然,居住主导,显著变化
