grid_id,district,ori_level,urban_type,func_zone,sv_quality,stability_level,sample_type,ORI_FLD_pct,ORI_FLD_class,GVI,SVF,BEI,SWI,builtness,complexity,FAR,bld_density,impervious_pct,road_density_major,bld_住宅_pct,slope_mean,pop_density_2023,n_sv_points,quality_score,single_point_grid,point_id,sample_id
R102C064,渝北区,ORI低,一般建成区,居住主导,低质量,稳定,main,0.7067277743,4,0.025300025,0.00048828,0.737443925,0.0,0.954792975,0.4401453230633114,0.0048,24.0,12.11,5.389,66.66666666666666,12.683500289916992,609.1,1,0.3333333333333333,1,3142,1
R101C063,渝北区,ORI低,一般建成区,居住主导,高质量,稳定,main,0.5882352941,3,0.0152931211111111,0.0038606855555555,0.489878846,1.992111111111111e-05,0.8203421717777778,0.4915105205257621,0.1498,104.0,3.81,4.881,84.61538461538461,7.309800148010254,2028.5,3,1.0,0,1485,2
R099C089,渝北区,ORI低,乡村/自然,无/极少建筑,低质量,稳定,main,0.4273827534,3,0.00128841375,0.1314566916666666,0.3870557166666666,3.3375e-06,0.8332659433333333,0.5775172078181312,0.0,0.0,0.0,4.109,,28.45840072631836,0.0,2,0.6666666666666666,0,14522,3
R099C092,渝北区,ORI低,一般建成区,混合/非居住,低质量,稳定,main,0.3516952923,2,0.0131196983333333,0.044466655,0.34373792,0.0003471375,0.7111396766666667,0.5773117827389167,0.0,20.0,0.0,4.511,40.0,18.16279983520508,167.2,2,0.6666666666666666,0,14519,4
R099C088,渝北区,ORI低,乡村/自然,无/极少建筑,低质量,稳定,main,0.2955860105,2,0.0243843387499999,0.0890382133333333,0.3348355283333333,0.00044727375,0.639078775,0.5861846746397456,0.0,0.0,0.0,4.109,,25.271400451660156,0.0,2,0.6666666666666666,0,14523,5
R099C093,渝北区,ORI低,一般建成区,居住主导,高质量,稳定,main,0.2525140162,2,0.1547089683333333,0.1075532688888888,0.2372645582142857,0.0108833951666666,0.6488778866666666,0.5809514465767216,0.0,16.0,0.0,6.519,100.0,20.482999801635746,191.0,3,1.0,0,14515,6
R073C076,渝北区,ORI低,密集城区,居住主导,低质量,稳定,main,0.6584497642,4,0.1386909499999999,0.0671297733333333,0.2317390399999999,7.63e-06,0.5917905133333333,0.6946502129174869,0.1528,172.0,1.1,4.32,62.7906976744186,13.66230010986328,685.6,1,0.3333333333333333,1,5402,7
R094C054,渝北区,ORI低,密集城区,居住主导,低质量,稳定,main,0.7023671799,4,0.2492507275,0.167201995,0.2048428866666666,0.05209112,0.5205143274999999,0.7120318252717392,1.0172,268.0,6.57,8.279,89.55223880597015,9.4306001663208,1644.0,2,0.6666666666666666,0,13362,8
R084C070,渝北区,ORI低,密集城区,居住主导,低质量,基本稳定-局部变化,main,0.7026786509,4,0.06785392625,0.35816447,0.0756979008333333,0.01271708875,0.5325899154166667,0.5980031989375658,0.0638,192.0,13.28,11.421,83.33333333333334,10.806599617004396,102.2,2,0.6666666666666666,0,18570,9
R082C090,渝北区,ORI低,乡村/自然,混合/非居住,低质量,基本稳定-局部变化,main,0.6640562428,4,0.34623464,0.25878906,0.02979946,0.0141096099999999,0.3747965499999999,0.5640023043182304,0.0,8.0,2.42,4.892,0.0,17.135700225830078,380.0,1,0.3333333333333333,1,13798,10
